year,state_abbr,state_name,population,violent_crime,property_crime,total_crime,homicide,rape_legacy,rape_legacy_cleaned,aggravated_assault,robbery,rape_revised,rape_revised_cleaned,burglary,larceny,motor_vehicle_theft,violent_crime_rate_100k,%violent_crime_100k,property_crime_rate_100k,%property_crime_100k,%total_crime_per_100k
2011,WI,Wisconsin,5709843,14268,139912,154180,138,1190.0,1190,8340,4600,,0,27167,104472,8273,249.8842788,0.2498842788,2450.365098,2.450365098,2.700249376
2011,WA,Washington,6823267,20152,244209,264361,163,2320.0,2320,12042,5627,,0,56561,162828,24820,295.3423924,0.2953423924,3579.06264,3.57906264,3.874405032
2011,VT,Vermont,626592,925,15086,16011,11,146.0,146,669,99,,0,3838,10720,528,147.6239722,0.1476239722,2407.627292,2.407627292,2.555251264
2011,VA,Virginia,8104384,16014,182902,198916,304,1591.0,1591,8694,5425,,0,30656,142476,9770,197.5967575,0.1975967575,2256.827909,2.256827909,2.454424667
2011,UT,Utah,2814347,5547,84084,89631,50,901.0,901,3517,1079,,0,13170,64727,6187,197.0972307,0.1970972307,2987.691283,2.987691283,3.184788514
2011,TX,Texas,25631778,104734,892810,997544,1130,7486.0,7486,67498,28620,,0,215755,613131,63924,408.6099685,0.4086099685,3483.215249,3.483215249,3.891825218
2011,TN,Tennessee,6399787,38895,230900,269795,380,2095.0,2095,28338,8082,,0,62830,153928,14142,607.7546018,0.6077546018,3607.932577,3.607932577,4.215687178
2011,SD,South Dakota,823593,2105,15299,17404,20,503.0,503,1415,167,,0,2927,11423,949,255.5874079,0.2555874079,1857.592282,1.857592282,2.113179689
2011,SC,South Carolina,4673348,27894,183243,211137,320,1678.0,1678,21265,4631,,0,47351,122255,13637,596.8740184,0.5968740184,3921.021931,3.921021931,4.51789595
2011,RI,Rhode Island,1050646,2586,27976,30562,20,319.0,319,1503,744,,0,6836,18765,2375,246.1342831,0.2461342831,2662.742732,2.662742732,2.908877015
2011,PA,Pennsylvania,12743948,46189,283442,329631,639,3339.0,3339,26046,16165,,0,57966,208604,16872,362.4387042,0.3624387042,2224.13023,2.22413023,2.586568935
2011,OR,Oregon,3868229,9643,121869,131512,84,1239.0,1239,6083,2237,,0,20704,92059,9106,249.2872061,0.2492872061,3150.511513,3.150511513,3.399798719
2011,OK,Oklahoma,3784163,17311,127618,144929,212,1410.0,1410,12401,3288,,0,36462,80064,11092,457.4591528,0.4574591528,3372.423439,3.372423439,3.829882592
2011,OH,Ohio,11541007,35218,380572,415790,500,3679.0,3679,15048,15991,,0,112901,246744,20927,305.1553474,0.3051553474,3297.563202,3.297563202,3.60271855
2011,NY,New York,19501616,77463,371837,449300,769,2751.0,2751,45538,28405,,0,65227,287361,19249,397.2132361,0.3972132361,1906.698399,1.906698399,2.303911635
2011,NV,Nevada,2720028,15452,70075,85527,139,913.0,913,10092,4308,,0,20342,40156,9577,568.0823874,0.5680823874,2576.260244,2.576260244,3.144342632
2011,NM,New Mexico,2078674,11904,73549,85453,158,856.0,856,9170,1720,,0,21419,46730,5400,572.6727712,0.5726727712,3538.265259,3.538265259,4.110938031
2011,NJ,New Jersey,8834773,27203,189719,216922,380,1006.0,1006,13608,12209,,0,43238,129066,17415,307.9083073,0.3079083073,2147.412276,2.147412276,2.455320584
2011,NH,New Hampshire,1317807,2864,32756,35620,16,581.0,581,1758,509,,0,6244,25398,1114,217.3307624,0.2173307624,2485.644711,2.485644711,2.702975474
2011,NE,Nebraska,1842234,4672,50894,55566,68,699.0,699,2912,993,,0,8725,38060,4109,253.6051338,0.2536051338,2762.624075,2.762624075,3.016229209
2011,ND,North Dakota,684740,1699,13334,15033,24,266.0,266,1318,91,,0,2458,9891,985,248.1233753,0.2481233753,1947.308467,1.947308467,2.195431843
2011,NC,North Carolina,9651103,33421,337806,371227,498,1959.0,1959,21516,9448,,0,105534,215453,16819,346.2920249,0.3462920249,3500.180238,3.500180238,3.846472263
2011,MT,Montana,997667,2755,23885,26640,29,366.0,366,2189,171,,0,3347,19089,1449,276.1442445,0.2761442445,2394.085401,2.394085401,2.670229646
2011,MS,Mississippi,2977457,8009,89809,97818,232,863.0,863,4418,2496,,0,30722,54179,4908,268.9879316,0.2689879316,3016.298808,3.016298808,3.28528674
2011,MO,Missouri,6008984,26888,199085,225973,366,1469.0,1469,18778,6275,,0,44875,138879,15331,447.4633316,0.4474633316,3313.122485,3.313122485,3.760585816
2011,MN,Minnesota,5347299,12323,136183,148506,75,2113.0,2113,6750,3385,,0,25681,102354,8148,230.452795,0.230452795,2546.762393,2.546762393,2.777215188
2011,MI,Michigan,9876801,43731,251329,295060,617,4344.0,4344,28507,10263,,0,69755,156666,24908,442.7648183,0.4427648183,2544.639707,2.544639707,2.987404525
2011,ME,Maine,1328544,1638,33829,35467,26,394.0,394,848,370,,0,7865,24886,1078,123.292868,0.123292868,2546.321386,2.546321386,2.669614254
2011,MD,Maryland,5839572,28817,166846,195663,399,1200.0,1200,16876,10342,,0,35823,114951,16072,493.4779467,0.4934779467,2857.16145,2.85716145,3.350639396
2011,MA,Massachusetts,6607003,28232,148829,177061,184,1654.0,1654,19626,6768,,0,36403,101644,10782,427.3041801,0.4273041801,2252.594709,2.252594709,2.679898889
2011,LA,Louisiana,4574766,25373,168529,193902,506,1262.0,1262,18370,5235,,0,46242,113174,9113,554.6294608,0.5546294608,3683.882411,3.683882411,4.238511871
2011,KY,Kentucky,4366814,10465,119037,129502,151,1499.0,1499,5110,3705,,0,32750,79586,6701,239.6484027,0.2396484027,2725.946193,2.725946193,2.965594596
2011,KS,Kansas,2870386,10209,88655,98864,111,1122.0,1122,7528,1448,,0,18712,63259,6684,355.6664504,0.3556664504,3088.608988,3.088608988,3.444275439
2011,IN,Indiana,6516353,21619,206016,227635,306,1758.0,1758,12578,6977,,0,50571,140630,14815,331.7653295,0.3317653295,3161.523018,3.161523018,3.493288347
2011,IL,Illinois,12859752,54523,344468,398991,781,3030.0,3030,30495,20217,,0,77719,237362,29387,423.9817378,0.4239817378,2678.651968,2.678651968,3.102633706
2011,ID,Idaho,1583744,3202,32875,36077,35,444.0,444,2535,188,,0,6915,24629,1331,202.1791401,0.2021791401,2075.777398,2.075777398,2.277956538
2011,IA,Iowa,3064097,7883,72043,79926,44,866.0,866,6149,824,,0,17573,50472,3998,257.2699232,0.2572699232,2351.198412,2.351198412,2.608468335
2011,HI,Hawaii,1378129,3465,43874,47339,20,353.0,353,2098,994,,0,8165,31240,4469,251.4278417,0.2514278417,3183.591667,3.183591667,3.435019508
2011,GA,Georgia,9812460,36762,357235,393997,549,2066.0,2066,21881,12266,,0,96014,231543,29678,374.6461132,0.3746461132,3640.626306,3.640626306,4.015272419
2011,FL,Florida,19082262,98198,671200,769398,984,5273.0,5273,66319,25622,,0,170171,461408,39621,514.6035622,0.5146035622,3517.402706,3.517402706,4.032006268
2011,DE,Delaware,908137,5144,31163,36307,48,307.0,307,3231,1558,,0,7617,22001,1545,566.4343596,0.5664343596,3431.530705,3.431530705,3.997965065
2011,DC,District of Columbia,619020,7433,29654,37087,108,173.0,173,3058,4094,,0,3850,21347,4457,1200.768957,1.200768957,4790.475267,4.790475267,5.991244225
2011,CT,Connecticut,3586717,9889,77205,87094,129,689.0,689,5382,3689,,0,15468,55067,6670,275.7117442,0.2757117442,2152.525555,2.152525555,2.428237299
2011,CO,Colorado,5116302,16085,132781,148866,155,2285.0,2285,10346,3299,,0,25725,96054,11002,314.3872273,0.3143872273,2595.253369,2.595253369,2.909640596
2011,CA,California,37683933,154943,973822,1128765,1792,7665.0,7665,91195,54291,,0,230075,596905,146842,411.1646202,0.4111646202,2584.183556,2.584183556,2.995348177
2011,AZ,Arizona,6467315,26789,229896,256685,397,2499.0,2499,16748,7145,,0,54695,155400,19801,414.2213577,0.4142213577,3554.736394,3.554736394,3.968957751
2011,AR,Arkansas,2938582,14173,110430,124603,160,1230.0,1230,10426,2357,,0,34016,70645,5769,482.3074531,0.4823074531,3757.93495,3.75793495,4.240242403
2011,AL,Alabama,4803689,20166,173192,193358,299,1370.0,1370,13591,4906,,0,51119,111411,10662,419.8023644,0.4198023644,3605.39577,3.60539577,4.025198134
2011,AK,Alaska,723860,4416,19094,23510,30,436.0,436,3374,576,,0,2852,14854,1388,610.0627193,0.6100627193,2637.80289,2.63780289,3.247865609
2010,WY,Wyoming,564554,1117,13869,14986,8,162.0,162,870,77,,0,2151,11126,592,197.8552982,0.1978552982,2456.629481,2.456629481,2.654484779
2010,WV,West Virginia,1854368,5586,41301,46887,58,362.0,362,4390,776,,0,10778,28104,2419,301.2347064,0.3012347064,2227.227821,2.227227821,2.528462527
2010,WI,Wisconsin,5691659,14167,142781,156948,155,1191.0,1191,8305,4516,,0,26636,107993,8152,248.9080952,0.2489080952,2508.600744,2.508600744,2.757508839
2010,WA,Washington,6742950,21138,249426,270564,154,2579.0,2579,12476,5929,,0,55192,168490,25744,313.4829711,0.3134829711,3699.063466,3.699063466,4.012546437
2010,VT,Vermont,625909,820,14160,14980,7,141.0,141,596,76,,0,3348,10373,439,131.0094598,0.1310094598,2262.309697,2.262309697,2.393319157
2010,VA,Virginia,8023953,17184,187403,204587,376,1580.0,1580,9550,5678,,0,30804,145990,10609,214.1587818,0.2141587818,2335.544588,2.335544588,2.549703369
2010,UT,Utah,2775479,5925,88316,94241,53,983.0,983,3620,1269,,0,15095,67242,5979,213.4766647,0.2134766647,3182.009304,3.182009304,3.395485968
2010,TX,Texas,25253466,113231,951246,1064477,1249,7622.0,7622,71517,32843,,0,228597,654626,68023,448.3780563,0.4483780563,3766.793833,3.766793833,4.21517189
2010,TN,Tennessee,6357436,38909,232855,271764,359,2173.0,2173,28016,8361,,0,64293,153729,14833,612.0234635,0.6120234635,3662.718744,3.662718744,4.274742207
2010,SD,South Dakota,816598,2196,15188,17384,23,385.0,385,1634,154,,0,3192,11196,800,268.9205705,0.2689205705,1859.911486,1.859911486,2.128832057
2010,SC,South Carolina,4637106,27923,181098,209021,265,1551.0,1551,21090,5017,,0,46261,121544,13293,602.1643672,0.6021643672,3905.409969,3.905409969,4.507574336
2010,RI,Rhode Island,1052528,2709,26959,29668,29,298.0,298,1600,782,,0,6124,18432,2403,257.3803262,0.2573803262,2561.357038,2.561357038,2.818737364
2010,PA,Pennsylvania,12717722,46612,276366,322978,653,3472.0,3472,26112,16375,,0,55206,204440,16720,366.5121788,0.3665121788,2173.077852,2.173077852,2.53959003
2010,OR,Oregon,3838332,9648,116657,126305,96,1239.0,1239,5892,2421,,0,20035,87494,9128,251.3591841,0.2513591841,3039.262888,3.039262888,3.290622072
2010,OK,Oklahoma,3760184,18100,129464,147564,195,1469.0,1469,13091,3345,,0,37848,81303,10313,481.3594228,0.4813594228,3443.023001,3.443023001,3.924382424
2010,OH,Ohio,11537968,36306,376836,413142,479,3730.0,3730,15611,16486,,0,107125,248581,21130,314.6654593,0.3146654593,3266.0517,3.2660517,3.580717159
2010,NY,New York,19395206,76492,379710,456202,868,2797.0,2797,44197,28630,,0,65839,293232,20639,394.3861179,0.3943861179,1957.751828,1.957751828,2.352137946
2010,NV,Nevada,2704283,17929,75004,92933,158,965.0,965,11508,5298,,0,22286,42533,10185,662.9853458,0.6629853458,2773.526291,2.773526291,3.436511637
2010,NM,New Mexico,2065913,12147,70776,82923,140,959.0,959,9432,1616,,0,21023,44503,5250,587.9724848,0.5879724848,3425.894508,3.425894508,4.013866992
2010,NJ,New Jersey,8799593,27055,183042,210097,371,981.0,981,13885,11818,,0,38732,128754,15556,307.4574017,0.3074574017,2080.118933,2.080118933,2.387576334
2010,NH,New Hampshire,1316807,2204,29230,31434,13,411.0,411,1330,450,,0,5444,22789,997,167.3745659,0.1673745659,2219.763413,2.219763413,2.387137978
2010,NE,Nebraska,1830141,5093,48827,53920,54,674.0,674,3345,1020,,0,8318,36896,3613,278.2845693,0.2782845693,2667.936514,2.667936514,2.946221084
2010,ND,North Dakota,674629,1548,12010,13558,10,245.0,245,1203,90,,0,2000,9137,873,229.459451,0.229459451,1780.237731,1.780237731,2.009697182
2010,NC,North Carolina,9560234,34679,329202,363881,474,2002.0,2002,22583,9620,,0,102826,208057,18319,362.7421672,0.3627421672,3443.45128,3.44345128,3.806193447
2010,MT,Montana,990958,2733,25409,28142,25,332.0,332,2222,154,,0,3692,20166,1551,275.7937269,0.2757937269,2564.084452,2.564084452,2.839878178
2010,MS,Mississippi,2970072,7999,88596,96595,204,931.0,931,4087,2777,,0,30453,52784,5359,269.3200704,0.2693200704,2982.957989,2.982957989,3.252278059
